"bearer","total_share"
"a00aeb03a6f13225ab42b1aaf7069c42b391e57295c037fd4466ecb511945292","21"
"a00b59d691345d89366c826f5008f37f4bf87d3f886b16ce230cfdbc5538d109","20"
"a00553fbe9fbc7c70fb6de0be6b5decfea12ce18d83f5eb9c4f706ed41092afe","20"
"a005bfaeea3e568cfd51b14fcc01a9022e568acf3984483553d5100c6f405583","20"
"a008242db691f2f52a265d20604ff8e8020b8d7faf6b029bbd2cebcc428002fb","20"
"a00054fa48c7318e036ebc443f736dbc3def77ec0253739080dafb67d5e895c2","20"
"a00f3d9ca36df46a6fa9ec597f3323f38dd43dc840ef6b42d0dea27adad0cc32","20"
"a007c52c476690942b4d59de7d252bc3d30db15f84e35df743509cabe83247f1","20"
"a0093bc5ad6f4f8547bc16a509bd3fd602d9929f21dfd533346bfc4961a61355","20"
"a001541c118fb6e8591260dedd6d7fcc392f73cdad149431280a27a49da0ab11","20"
"a0090c8a6015f465318dc388e98d69341763db21de11fdd1a52ffda3a930e8a9","19"
"a00c394ef9525632d28c3e80d1f1101b48c26fe750fc4127925c5c7bd9c70601","19"
"a004f4039c54703509d605543df66510427b7c430c63b69800a634bd2047cad2","19"
"a00a93be71c1bbabdc5d410600df982015c343d31b4d703952ce32388b924c65","19"
"a00c853f7494819a20346698e789d07b134a36e40acacddd720ec87120f52ea1","19"
"a00853078b3a1ca929229d85496496b657526f1c0a06ce04e50f366334c193d3","19"
"a005d083442d7bf38dae47db062fa9b70f272b9824f03f6160d5b5bcc2d9272c","19"
"a00a0cbdb7b45c5781afcc2c5b90032ca7147594b75189cdb2f639282ff377dd","19"
"a00c0c8cfe4be29b716a91695505281ada1f0faae1ceaa0d5ad1ae1d6e2c0988","19"
"a0089aea0a5e44a10b0557db70af8fdd91dde4ed13f42805ef8fa62e0e81a371","18"
"a0069d37ba6b3018c2c5921878ce7d8bdae242c240f66e56684357aca72e85b9","18"
"a00f877cd33923e548552f7380b6dad68e7fafa68755b5b84acd60339f4f0937","18"
"a0063a9c8f5fb7238be9e9202724817caaa8cc0719191f95c2b546fc0b5931d8","18"
"a00b520e9f37d86eb7d882d55a8c291ab73982ab85437a2091f3ce8a978f570e","18"
"a004697d4686c0672e4d43eb83c1518e7a838ebe5efca0acef47aed83eb1b933","18"
"a00da8cb444af6f4dfb9f78cbfdc379bb2020ff437e53083b6d7173638015348","18"
"a00d5a849e657604d424bc106625fc7abc8b8ea3d048c0a2001ef1726b96636d","18"
"a001947198d45c8d8cd1814d76c5e18a3b33abad086a2f46188835833baec808","18"
"a00a4ee7d71800a5723c567cabb4745e89fc14482e4b91a94cc6374e3ea96bd1","18"
"a0054537912cf7d428c75a4a11b028680aa458468993946afad13a2cce2286e2","17"
"a008ce86fd215a73f89177943da962501578ee392a72abb20b50167a5b407a6d","17"
"a0075a756c292b778d46a650c87946c87fd9797a0191aba18563875047592ac3","17"
"a00bdbba3e54c27dcfef63db3a03ce90f7bfbf7664f5ebb05c1d752fbe000bf6","17"
"a00862faa31562242ba9b90936a0786713ca09351e5e3c9a78f3de7d70dc3739","17"
"a001647580ce4643601041015380b09baa28fbea9cac390a055ec2f25e765744","17"
"a00abf2888fdf1abb5bc5492d22f9fab0095078709268479831b55e657bceddc","17"
"a00ca47a5fbf71f15a19b7130bcc416d2f31db9c129b97e38488bfad8fb7bd69","17"
"a0059dc818ce933734d837fbed5df536f985cee2becf84a6cba794c9c6eedc9a","17"
"a00451007b7ca970bbe988819e06f91464ed0adde00ea4d1a77fb4fc0ccde3af","17"
"a002d861acdea4cb769324e2d99c5360ed0da46a37963653505ac9d2cb002c4d","17"
"a006653d969acf4588b59428af6dfe74669ce27cef644554d7e4c79a44a48ce8","17"
"a0069c43a6b5a536d6ac328530c0d8d78d4c8cc8dfed8803f88593c0612dd4cb","17"
"a0065122d3f456cc46e99bcfcfddaf78e02730d0a8720f61b3e6a32d1d05b1b0","17"
"a00c5411fbafe09ffcfab0cb446eccd4829ca5b3a6ce906d8b59e33f74425c04","17"
"a0017c8cdfbc98448622e2b178f3812013efaeb553af07846a76ec66e34ec977","17"
"a008c6892b59138912416cb2c3729acdd95ea9c7215b12507e570c2022c629ba","17"
"a00d1497952002c1b1900417bf9808ab714d230ab6dafea47ee7f219bd142fa6","17"
"a00f065c38f90950b4039d5db2faaa4d89d383048b1a3891706735d6bdeea60c","17"
"a005bd077265e4bba82bc462d1d64bf31d6cff13b4cb19fba0df8a79e60744f3","17"
"a0064afaaacdf29c18c04c5ddeb2d5ce1e3d7dda3ed7c2ce269e8c78813a1d19","17"
"a00f10cf0a319c0a3aa0a58ec51c759ccfa07cae21472a0eeee98f43cba39e0d","17"
"a00b96ceb4a908b4de67ca9ce98112c29acf37408e1e0648da3e3eaafea324a4","17"
"a004b3c580de179fa55a8596f94197ee272281dbeea243105505d81d58534514","17"
"a00bedc45d6fb0b98f8a81ef833cf462fc727533c1544a78da977a543de63f5e","17"
"a009bf0b6a2ce3ee4be2ef76ad283e9e283db7aa503628dba1100d2c847c39bc","17"
"a002d27d667c79bf732ff062f9e5aa801e9722a20cfd79524051e1b73f185d40","17"
"a00b2088d0082c26d539ba084687e88be776200d282b8c2d11fb86b6d53d1f07","17"
"a0075c5a49e7227afc6df91dbde2d878c64a0d5e2823edd8d819372071f4c25e","17"
"a004f0072b09f0bf734160eceb6fee623b37f4ca588e5c5e77f83267d9e95c42","17"
"a008b7de192681374eed9003e9ec314226932030b3559fb4115bf6735b0549a6","17"
"a006a320a25acb4dc4c7d8ff651cd988df9dd4898955ae4d08b4f8d1e162ad11","17"
